Food Name,Calories,Protein (g),Carbs (g),Fat (g),Rasa,Virya,Vipaka,Dosha Impact,Suitable For,Benefits,Dish Name,Main Ingredients,Ayurvedic Properties,Diabetes Management Benefits,Calories (per serving),Glycemic Index Estimate,Meal Timing Suggestion,Portion Size Recommendation,Notes,Calories_per_100g,Category
2 chapati with cabbage sabji and saald,25,0.9,4.5,0.1,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and potato sabji,"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,236,44,Lunch,1 medium serving,Consume freshly prepared for best benefits,23.29,
1 gobi parota with ghee,85,5.5,14.0,0.5,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Bottle Gourd Curry ,"Leafy Greens, Spices, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,186,32,Dinner,1 medium serving,Consume freshly prepared for best benefits,81.44,
1 bowl of rice and vegetable sambar,40,1.5,6.0,0.4,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Broccoli Stir Fry ,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,143,30,Lunch,1 medium serving,Consume freshly prepared for best benefits,37.07,
1 bowl of rice with dal ,70,1.5,10.0,2.0,Katu,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of brown rice and veg sambar,"Whole Grains, Leafy Greens, Vegetables","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,171,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,64.5,
2 jowar roti with moong dal sabji and salad,100,3.0,18.0,1.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Cauliflower Rice Pulao,"Leafy Greens, Whole Grains, Vegetables","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,143,46,Dinner,1 medium serving,Consume freshly prepared for best benefits,95.0,
2 plain paratha with curd,87,2.0,20.0,0.1,Madhura,Sheeta,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati with Cluster Beans Sabzi ,"Whole Grains, Legumes, Leafy Greens","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,345,33,Lunch,1 medium serving,Consume freshly prepared for best benefits,81.63,
1 bowl of brown rice and sambar,95,2.0,18.0,2.5,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Lauki Chana Dal Curry,"Whole Grains, Spices, Leafy Greens","Provide sustained energy release and support Kapha balance; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,266,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,99.97,
2 Multigrain Roti with Mixed Vegetable Curry ,50,2.0,10.0,0.3,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti and green leaf curry,"Spices, Low-fat Dairy, Legumes","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,138,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,45.32,Snack
2 Steamed Dhokla,150,4.0,22.0,5.0,Tikta,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 dosa with coconut chutney,"Spices, Low-fat Dairy, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,198,30,Breakfast,1 medium serving,Consume freshly prepared for best benefits,150.99,
1 bowl of brown rice and palak dal,20,0.5,3.0,0.5,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with bitter guard sabji,"Vegetables, Spices, Leafy Greens","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,193,35,Lunch,1 medium serving,Consume freshly prepared for best benefits,18.46,
Cucumber & Carrot Sticks with Hummus,35,2.8,6.6,0.4,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with methi sabji,"Spices, Whole Grains, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,202,31,Dinner,1 medium serving,Consume freshly prepared for best benefits,38.15,Lunch
1 bowl of brown rice and Vegetable Stew ,50,0.2,13.0,0.1,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Fenugreek Leaves Curry ,"Legumes, Whole Grains, Low-fat Dairy","High in protein and fiber, slows glucose absorption; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,216,44,Dinner,1 medium serving,Consume freshly prepared for best benefits,51.29,
2 roti with soya bhurji,22,1.0,4.5,0.2,Kashaya,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Radish Paratha,"Spices, Legumes, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,127,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,22.84,Snack
2 roti with paneer burji,40,2.0,8.0,0.3,Tikta,Sheeta,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of  rice Vegetable Sambar,"Low-fat Dairy, Vegetables, Legumes","Provides protein without excess fat, supports metabolic health; Rich in fiber and low GI, promotes stable blood sugar; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,242,32,Lunch,1 medium serving,Consume freshly prepared for best benefits,38.8,
1 bowl of rice and rajma curry,90,2.5,15.0,3.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of pulav and Vegetable Raita,"Spices, Leafy Greens, Vegetables","Stimulates digestion and helps in blood sugar regulation; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,221,34,Lunch,1 medium serving,Consume freshly prepared for best benefits,97.88,
2 roti with chickpea sabji and salad,86,3.2,19.0,1.2,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tomato Rasam,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,293,49,Dinner,1 medium serving,Consume freshly prepared for best benefits,92.66,
2 dosa with coconut chutney,38,1.1,8.0,0.3,Madhura,Sheeta,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl Vegetable upma,"Leafy Greens, Spices, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,330,51,Breakfast,1 medium serving,Consume freshly prepared for best benefits,37.5,
2 chapati and Ridge Gourd Curry,32,1.0,6.5,0.2,Tikta,Sheeta,Katu,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Beetroot Poriyal,"Whole Grains, Legumes, Vegetables","Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,179,55,Dinner,1 medium serving,Consume freshly prepared for best benefits,32.16,
2 roti and Snake Gourd Sabzi with salad ,28,0.9,5.8,0.2,Kashaya,Sheeta,Madhura,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with Zucchini Stir Fry,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,208,34,Dinner,1 medium serving,Consume freshly prepared for best benefits,30.7,
2 chapati with Paneer Bhurji (Low Fat),120,10.0,3.5,7.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice Spinach and Moong Dal Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,143,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,126.64,Dinner
2 moong dal chilla,25,1.0,3.0,1.5,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 poori with peas sabji,"Low-fat Dairy, Whole Grains, Legumes","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,261,53,Breakfast,1 medium serving,Consume freshly prepared for best benefits,27.37,
2 roti with  chana sabji ,20,0.5,4.5,0.1,Amla,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati with methi sabji,"Whole Grains, Low-fat Dairy, Leafy Greens","Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,183,47,Dinner,1 medium serving,Consume freshly prepared for best benefits,19.51,
1 bowl od rice with Raw Papaya Curry,42,0.8,10.0,0.2,Tikta,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Peas Pulao with Curd,"Leafy Greens, Legumes, Low-fat Dairy","Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,196,50,Lunch,1 medium serving,Consume freshly prepared for best benefits,42.92,
1 cup of Boiled Rajma Chaat with Tomatoes,18,0.7,2.5,0.5,Katu,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable rice,"Spices, Legumes, Vegetables","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,141,45,Dinner,1 medium serving,Consume freshly prepared for best benefits,18.51,
 2 roti and Chole sabji,60,3.0,4.0,3.5,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of rice and Tur Dal sambar,"Low-fat Dairy, Whole Grains, Vegetables","Provides protein without excess fat, supports metabolic health; Provide sustained energy release and support Kapha balance; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,171,45,Lunch,1 medium serving,Consume freshly prepared for best benefits,59.65,Lunch
1 bowl of brown rice with matki sambar,145,5.0,18.0,5.0,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati and Paneer Bhurji (Low-fat),"Whole Grains, Leafy Greens, Legumes","Provide sustained energy release and support Kapha balance; Rich in fiber and antioxidants, helps regulate blood sugar levels; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,334,37,Lunch,1 medium serving,Consume freshly prepared for best benefits,149.8,
1 bowl of brown rice and palak dal,90,7.0,15.0,0.5,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 chapati witrh Vegetable Korma,"Leafy Greens, Vegetables, Whole Grains","Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,269,40,Lunch,1 medium serving,Consume freshly prepared for best benefits,81.19,
1 bowl of rice and moong dal ,20,0.6,4.0,0.1,Madhura,Sheeta,Madhura,Balances Pitta,Weight Loss,"General health benefits, supports weight loss, and balances doshas",3 Vegetable Stuffed Idli,"Legumes, Leafy Greens, Vegetables","High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,157,53,Dinner,1 medium serving,Consume freshly prepared for best benefits,20.26,
1 bowl of semiya upma,130,7.0,18.0,3.0,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of Vegetable Poha,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,277,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,119.13,
2 dosa with coconut chutney,100,6.0,17.0,1.5,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 masala dosa ,"Spices, Whole Grains, Low-fat Dairy","Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,189,32,Breakfast,1 medium serving,Consume freshly prepared for best benefits,105.12,
1 bowl of sabudana kichadi,85,7.0,13.0,0.4,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",1 bowl of vegetable salad,"Spices, Legumes, Leafy Greens","Stimulates digestion and helps in blood sugar regulation; High in protein and fiber, slows glucose absorption; Rich in fiber and antioxidants, helps regulate blood sugar levels",Helps regulate blood sugar and provides balanced nutrition,137,46,Breakfast,1 medium serving,Consume freshly prepared for best benefits,92.47,
2 roti with masoor dal sabji,86,1.6,20.0,0.1,Madhura,Ushna,Madhura,Increases Kapha,Weight Loss (limited),"General health benefits, supports weight loss, and balances doshas",2 chapati and a bowl of Sprouted Moong Usal,"Leafy Greens, Whole Grains, Legumes","Rich in fiber and antioxidants, helps regulate blood sugar levels; Provide sustained energy release and support Kapha balance; High in protein and fiber, slows glucose absorption",Helps regulate blood sugar and provides balanced nutrition,259,37,Dinner,1 medium serving,Consume freshly prepared for best benefits,82.15,
1 bowl of Low-Fat Vegetable Pulao,110,3.0,22.0,1.0,Madhura,Ushna,Madhura,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Green Peas Curry,"Vegetables, Spices, Whole Grains","Rich in fiber and low GI, promotes stable blood sugar; Stimulates digestion and helps in blood sugar regulation; Provide sustained energy release and support Kapha balance",Helps regulate blood sugar and provides balanced nutrition,121,48,Lunch,1 medium serving,Consume freshly prepared for best benefits,108.77,
4 Low Fat Vegetable Dhokla,120,4.0,18.0,3.0,Kashaya,Ushna,Katu,Balances Kapha,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 roti with Amaranth Leaves Sabzi ,"Vegetables, Leafy Greens, Low-fat Dairy","Rich in fiber and low GI, promotes stable blood sugar; Rich in fiber and antioxidants, helps regulate blood sugar levels; Provides protein without excess fat, supports metabolic health",Helps regulate blood sugar and provides balanced nutrition,339,35,Dinner,1 medium serving,Consume freshly prepared for best benefits,114.45,Snack
1 small bowl of rice and sambar,150,5.0,20.0,5.0,Kashaya,Ushna,Katu,Balances Vata,Weight Loss,"General health benefits, supports weight loss, and balances doshas",2 Multigrain chapati with Sambar,"Low-fat Dairy, Legumes, Vegetables","Provides protein without excess fat, supports metabolic health; High in protein and fiber, slows glucose absorption; Rich in fiber and low GI, promotes stable blood sugar",Helps regulate blood sugar and provides balanced nutrition,294,40,Dinner,1 medium serving,Consume freshly prepared for best benefits,147.31,Snack
